Ni,Ti,Al,Ni3Ti,Laves,FCC
15.0,1.0,0.0,2.6269,0.0,10.51
16.0,1.0,0.0,2.6281,0.0,11.454
17.0,1.0,0.0,2.6294,0.0,12.4
18.0,1.0,0.0,2.6307,0.0,13.346
19.0,1.0,0.0,2.632,0.0,14.293
20.0,1.0,0.0,2.6333,0.0,15.241
15.0,2.0,0.0,5.2449,0.0,7.0521
16.0,2.0,0.0,5.2475,0.0,7.9932
17.0,2.0,0.0,5.25,0.0,8.9351
18.0,2.0,0.0,5.2526,0.0,9.878
19.0,2.0,0.0,5.2552,0.0,10.822
20.0,2.0,0.0,5.2577,0.0,11.767
15.0,3.0,0.0,7.8543,0.0,3.6057
16.0,3.0,0.0,7.8581,0.0,4.5435
17.0,3.0,0.0,7.8619,0.0,5.4822
18.0,3.0,0.0,7.8657,0.0,6.4218
19.0,3.0,0.0,7.8696,0.0,7.3624
20.0,3.0,0.0,7.8734,0.0,8.3038
15.0,4.0,0.0,10.455,0.0,0.17069
16.0,4.0,0.0,10.46,0.0,1.1053
17.0,4.0,0.0,10.465,0.0,2.0408
18.0,4.0,0.0,10.47,0.0,2.9772
19.0,4.0,0.0,10.475,0.0,3.9145
20.0,4.0,0.0,10.48,0.0,4.8527
15.0,5.0,0.0,10.479,1.8359,0.0
16.0,5.0,0.0,11.242,1.2943,0.0
17.0,5.0,0.0,12.007,0.75222,0.0
18.0,5.0,0.0,12.772,0.2096,0.0
19.0,5.0,0.0,13.072,0.0,0.47802
20.0,5.0,0.0,13.079,0.0,1.413
15.0,6.0,0.0,10.282,3.8234,0.0
16.0,6.0,0.0,11.045,3.2837,0.0
17.0,6.0,0.0,11.808,2.7435,0.0
18.0,6.0,0.0,12.572,2.2027,0.0
19.0,6.0,0.0,13.336,1.6614,0.0
20.0,6.0,0.0,14.102,1.1196,0.0
15.0,7.0,0.0,10.087,5.8043,0.0
16.0,7.0,0.0,10.848,5.2665,0.0
17.0,7.0,0.0,11.61,4.7281,0.0
18.0,7.0,0.0,12.372,4.1892,0.0
19.0,7.0,0.0,13.135,3.6498,0.0
20.0,7.0,0.0,13.899,3.1098,0.0
15.0,8.0,0.0,9.8917,7.7787,0.0
16.0,8.0,0.0,10.651,7.2427,0.0
17.0,8.0,0.0,11.412,6.7061,0.0
18.0,8.0,0.0,12.173,6.1691,0.0
19.0,8.0,0.0,12.935,5.6315,0.0
20.0,8.0,0.0,13.698,5.0934,0.0
15.0,9.0,0.0,9.6973,9.7465,0.0
16.0,9.0,0.0,10.456,9.2123,0.0
17.0,9.0,0.0,11.215,8.6776,0.0
18.0,9.0,0.0,11.975,8.1424,0.0
19.0,9.0,0.0,12.735,7.6067,0.0
20.0,9.0,0.0,13.496,7.0704,0.0
15.0,10.0,0.0,9.5035,11.708,0.0
16.0,10.0,0.0,10.261,11.176,0.0
17.0,10.0,0.0,11.018,10.643,0.0
18.0,10.0,0.0,11.777,10.109,0.0
19.0,10.0,0.0,12.536,9.5754,0.0
20.0,10.0,0.0,13.296,9.0409,0.0
15.0,11.0,0.0,9.3104,13.663,0.0
16.0,11.0,0.0,10.066,13.132,0.0
17.0,11.0,0.0,10.822,12.601,0.0
18.0,11.0,0.0,11.58,12.07,0.0
19.0,11.0,0.0,12.337,11.538,0.0
20.0,11.0,0.0,13.096,11.005,0.0
15.0,12.0,0.0,9.118,15.611,0.0
16.0,12.0,0.0,9.8723,15.083,0.0
17.0,12.0,0.0,10.627,14.553,0.0
18.0,12.0,0.0,11.383,14.024,0.0
19.0,12.0,0.0,12.14,13.493,0.0
20.0,12.0,0.0,12.897,12.962,0.0
15.0,13.0,0.0,8.9261,17.553,0.0
16.0,13.0,0.0,9.6791,17.026,0.0
17.0,13.0,0.0,10.433,16.499,0.0
18.0,13.0,0.0,11.187,15.971,0.0
19.0,13.0,0.0,11.942,15.443,0.0
20.0,13.0,0.0,12.698,14.914,0.0
15.0,14.0,0.0,8.7349,19.489,0.0
16.0,14.0,0.0,9.4866,18.964,0.0
17.0,14.0,0.0,10.239,18.438,0.0
18.0,14.0,0.0,10.992,17.912,0.0
19.0,14.0,0.0,11.746,17.385,0.0
20.0,14.0,0.0,12.5,16.858,0.0
15.0,15.0,0.0,8.5443,21.418,0.0
16.0,15.0,0.0,9.2947,20.895,0.0
17.0,15.0,0.0,10.046,20.371,0.0
18.0,15.0,0.0,10.798,19.847,0.0
19.0,15.0,0.0,11.55,19.322,0.0
20.0,15.0,0.0,12.303,18.797,0.0
15.0,1.0,1.0,2.5989,0.0,10.089
16.0,1.0,1.0,2.6002,0.0,11.005
17.0,1.0,1.0,2.6014,0.0,11.923
18.0,1.0,1.0,2.6027,0.0,12.844
19.0,1.0,1.0,2.6039,0.0,13.766
20.0,1.0,1.0,2.6052,0.0,14.69
15.0,2.0,1.0,5.1892,0.0,6.737
16.0,2.0,1.0,5.1917,0.0,7.6453
17.0,2.0,1.0,5.1942,0.0,8.5559
18.0,2.0,1.0,5.1967,0.0,9.4687
19.0,2.0,1.0,5.1992,0.0,10.384
20.0,2.0,1.0,5.2017,0.0,11.301
15.0,3.0,1.0,7.771,0.0,3.4192
16.0,3.0,1.0,7.7747,0.0,4.3178
17.0,3.0,1.0,7.7784,0.0,5.2191
18.0,3.0,1.0,7.7822,0.0,6.123
19.0,3.0,1.0,7.7859,0.0,7.0294
20.0,3.0,1.0,7.7897,0.0,7.9382
15.0,4.0,1.0,10.344,0.0,0.14424
16.0,4.0,1.0,10.349,0.0,1.0308
17.0,4.0,1.0,10.354,0.0,1.9207
18.0,4.0,1.0,10.359,0.0,2.8136
19.0,4.0,1.0,10.364,0.0,3.7096
20.0,4.0,1.0,10.369,0.0,4.6085
15.0,5.0,1.0,10.367,1.8172,0.0
16.0,5.0,1.0,11.123,1.2812,0.0
17.0,5.0,1.0,11.88,0.7447,0.0
18.0,5.0,1.0,12.637,0.20768,0.0
19.0,5.0,1.0,12.934,0.0,0.4342
20.0,5.0,1.0,12.94,0.0,1.3205
15.0,6.0,1.0,10.172,3.7843,0.0
16.0,6.0,1.0,10.927,3.2501,0.0
17.0,6.0,1.0,11.682,2.7154,0.0
18.0,6.0,1.0,12.438,2.1803,0.0
19.0,6.0,1.0,13.195,1.6445,0.0
20.0,6.0,1.0,13.952,1.1083,0.0
15.0,7.0,1.0,9.978,5.7451,0.0
16.0,7.0,1.0,10.731,5.2127,0.0
17.0,7.0,1.0,11.485,4.6798,0.0
18.0,7.0,1.0,12.24,4.1464,0.0
19.0,7.0,1.0,12.995,3.6125,0.0
20.0,7.0,1.0,13.751,3.0781,0.0
15.0,8.0,1.0,9.7842,7.6995,0.0
16.0,8.0,1.0,10.536,7.1689,0.0
17.0,8.0,1.0,11.289,6.6378,0.0
18.0,8.0,1.0,12.042,6.1063,0.0
19.0,8.0,1.0,12.796,5.5742,0.0
20.0,8.0,1.0,13.551,5.0416,0.0
15.0,9.0,1.0,9.5909,9.6477,0.0
16.0,9.0,1.0,10.341,9.1189,0.0
17.0,9.0,1.0,11.093,8.5896,0.0
18.0,9.0,1.0,11.845,8.0598,0.0
19.0,9.0,1.0,12.597,7.5295,0.0
20.0,9.0,1.0,13.351,6.9987,0.0
15.0,10.0,1.0,9.398,11.59,0.0
16.0,10.0,1.0,10.147,11.063,0.0
17.0,10.0,1.0,10.897,10.535,0.0
18.0,10.0,1.0,11.648,10.007,0.0
19.0,10.0,1.0,12.399,9.4786,0.0
20.0,10.0,1.0,13.151,8.9496,0.0
15.0,11.0,1.0,9.2055,13.525,0.0
16.0,11.0,1.0,9.9535,13.0,0.0
17.0,11.0,1.0,10.702,12.474,0.0
18.0,11.0,1.0,11.451,11.948,0.0
19.0,11.0,1.0,12.201,11.422,0.0
20.0,11.0,1.0,12.952,10.894,0.0
15.0,12.0,1.0,9.0134,15.455,0.0
16.0,12.0,1.0,9.76,14.932,0.0
17.0,12.0,1.0,10.507,14.408,0.0
18.0,12.0,1.0,11.255,13.883,0.0
19.0,12.0,1.0,12.004,13.358,0.0
20.0,12.0,1.0,12.754,12.833,0.0
15.0,13.0,1.0,8.8215,17.379,0.0
16.0,13.0,1.0,9.5668,16.857,0.0
17.0,13.0,1.0,10.313,16.335,0.0
18.0,13.0,1.0,11.06,15.812,0.0
19.0,13.0,1.0,11.807,15.289,0.0
20.0,13.0,1.0,12.555,14.765,0.0
15.0,14.0,1.0,8.6297,19.297,0.0
16.0,14.0,1.0,9.3737,18.777,0.0
17.0,14.0,1.0,10.118,18.256,0.0
18.0,14.0,1.0,10.864,17.735,0.0
19.0,14.0,1.0,11.61,17.214,0.0
20.0,14.0,1.0,12.357,16.692,0.0
15.0,15.0,1.0,8.438,21.209,0.0
16.0,15.0,1.0,9.1806,20.691,0.0
17.0,15.0,1.0,9.924,20.172,0.0
18.0,15.0,1.0,10.668,19.653,0.0
19.0,15.0,1.0,11.413,19.133,0.0
20.0,15.0,1.0,12.158,18.613,0.0
15.0,1.0,2.0,2.5715,0.0,9.7342
16.0,1.0,2.0,2.5728,0.0,10.625
17.0,1.0,2.0,2.574,0.0,11.518
18.0,1.0,2.0,2.5752,0.0,12.414
19.0,1.0,2.0,2.5764,0.0,13.312
20.0,1.0,2.0,2.5777,0.0,14.212
15.0,2.0,2.0,5.1346,0.0,6.4729
16.0,2.0,2.0,5.1371,0.0,7.353
17.0,2.0,2.0,5.1395,0.0,8.2359
18.0,2.0,2.0,5.142,0.0,9.1217
19.0,2.0,2.0,5.1444,0.0,10.01
20.0,2.0,2.0,5.1469,0.0,10.901
15.0,3.0,2.0,7.6894,0.0,3.2591
16.0,3.0,2.0,7.6931,0.0,4.1257
17.0,3.0,2.0,7.6967,0.0,4.9959
18.0,3.0,2.0,7.7004,0.0,5.8696
19.0,3.0,2.0,7.704,0.0,6.7465
20.0,3.0,2.0,7.7077,0.0,7.6266
15.0,4.0,2.0,10.236,0.0,0.10967
16.0,4.0,2.0,10.241,0.0,0.95845
17.0,4.0,2.0,10.246,0.0,1.8119
18.0,4.0,2.0,10.25,0.0,2.6698
19.0,4.0,2.0,10.255,0.0,3.5318
20.0,4.0,2.0,10.26,0.0,4.3979
15.0,5.0,2.0,10.257,1.7994,0.0
16.0,5.0,2.0,11.005,1.2687,0.0
17.0,5.0,2.0,11.754,0.73756,0.0
18.0,5.0,2.0,12.504,0.20587,0.0
19.0,5.0,2.0,12.798,0.0,0.38538
20.0,5.0,2.0,12.804,0.0,1.2322
15.0,6.0,2.0,10.063,3.7472,0.0
16.0,6.0,2.0,10.81,3.2183,0.0
17.0,6.0,2.0,11.557,2.6889,0.0
18.0,6.0,2.0,12.306,2.159,0.0
19.0,6.0,2.0,13.055,1.6286,0.0
20.0,6.0,2.0,13.805,1.0976,0.0
15.0,7.0,2.0,9.8689,5.689,0.0
16.0,7.0,2.0,10.615,5.1619,0.0
17.0,7.0,2.0,11.361,4.6342,0.0
18.0,7.0,2.0,12.108,4.1061,0.0
19.0,7.0,2.0,12.856,3.5774,0.0
20.0,7.0,2.0,13.604,3.0482,0.0
15.0,8.0,2.0,9.6751,7.6248,0.0
16.0,8.0,2.0,10.419,7.0994,0.0
17.0,8.0,2.0,11.165,6.5735,0.0
18.0,8.0,2.0,11.91,6.0471,0.0
19.0,8.0,2.0,12.657,5.5202,0.0
20.0,8.0,2.0,13.404,4.9928,0.0
15.0,9.0,2.0,9.4814,9.5548,0.0
16.0,9.0,2.0,10.224,9.0311,0.0
17.0,9.0,2.0,10.968,8.507,0.0
18.0,9.0,2.0,11.713,7.9823,0.0
19.0,9.0,2.0,12.458,7.4572,0.0
20.0,9.0,2.0,13.204,6.9315,0.0
15.0,10.0,2.0,9.2876,11.479,0.0
16.0,10.0,2.0,10.029,10.957,0.0
17.0,10.0,2.0,10.772,10.435,0.0
18.0,10.0,2.0,11.515,9.9118,0.0
19.0,10.0,2.0,12.259,9.3884,0.0
20.0,10.0,2.0,13.004,8.8645,0.0
15.0,11.0,2.0,9.0937,13.398,0.0
16.0,11.0,2.0,9.8343,12.877,0.0
17.0,11.0,2.0,10.576,12.357,0.0
18.0,11.0,2.0,11.318,11.836,0.0
19.0,11.0,2.0,12.06,11.314,0.0
20.0,11.0,2.0,12.804,10.792,0.0
15.0,12.0,2.0,8.8995,15.311,0.0
16.0,12.0,2.0,9.6387,14.792,0.0
17.0,12.0,2.0,10.379,14.273,0.0
18.0,12.0,2.0,11.119,13.754,0.0
19.0,12.0,2.0,11.861,13.234,0.0
20.0,12.0,2.0,12.603,12.714,0.0
15.0,13.0,2.0,8.7046,17.219,0.0
16.0,13.0,2.0,9.4425,16.702,0.0
17.0,13.0,2.0,10.181,16.185,0.0
18.0,13.0,2.0,10.921,15.667,0.0
19.0,13.0,2.0,11.661,15.149,0.0
20.0,13.0,2.0,12.402,14.63,0.0
15.0,14.0,2.0,8.5087,19.122,0.0
16.0,14.0,2.0,9.2454,18.607,0.0
17.0,14.0,2.0,9.9828,18.091,0.0
18.0,14.0,2.0,10.721,17.575,0.0
19.0,14.0,2.0,11.46,17.059,0.0
20.0,14.0,2.0,12.199,16.542,0.0
15.0,15.0,2.0,8.3115,21.02,0.0
16.0,15.0,2.0,9.0468,20.507,0.0
17.0,15.0,2.0,9.7829,19.993,0.0
18.0,15.0,2.0,10.52,19.479,0.0
19.0,15.0,2.0,11.257,18.964,0.0
20.0,15.0,2.0,11.995,18.449,0.0
15.0,1.0,3.0,2.5447,0.0,9.3575
16.0,1.0,3.0,2.5459,0.0,10.223
17.0,1.0,3.0,2.5471,0.0,11.091
18.0,1.0,3.0,2.5483,0.0,11.963
19.0,1.0,3.0,2.5495,0.0,12.837
20.0,1.0,3.0,2.5507,0.0,13.714
15.0,2.0,3.0,5.0812,0.0,6.1823
16.0,2.0,3.0,5.0836,0.0,7.0335
17.0,2.0,3.0,5.086,0.0,7.8884
18.0,2.0,3.0,5.0884,0.0,8.747
19.0,2.0,3.0,5.0908,0.0,9.6091
20.0,2.0,3.0,5.0932,0.0,10.474
15.0,3.0,3.0,7.6095,0.0,3.0732
16.0,3.0,3.0,7.6131,0.0,3.905
17.0,3.0,3.0,7.6167,0.0,4.742
18.0,3.0,3.0,7.6203,0.0,5.5838
19.0,3.0,3.0,7.6239,0.0,6.4302
20.0,3.0,3.0,7.6275,0.0,7.2808
15.0,4.0,3.0,10.129,0.0,0.059243
16.0,4.0,3.0,10.134,0.0,0.86971
17.0,4.0,3.0,10.139,0.0,1.6789
18.0,4.0,3.0,10.144,0.0,2.4959
19.0,4.0,3.0,10.149,0.0,3.3198
20.0,4.0,3.0,10.153,0.0,4.1498
15.0,5.0,3.0,10.148,1.7827,0.0
16.0,5.0,3.0,10.889,1.2571,0.0
17.0,5.0,3.0,11.631,0.73103,0.0
18.0,5.0,3.0,12.373,0.20444,0.0
19.0,5.0,3.0,12.661,0.0,0.28193
20.0,5.0,3.0,12.659,0.0,0.94571
15.0,6.0,3.0,9.9538,3.7122,0.0
16.0,6.0,3.0,10.693,3.1884,0.0
17.0,6.0,3.0,11.434,2.664,0.0
18.0,6.0,3.0,12.175,2.1391,0.0
19.0,6.0,3.0,12.917,1.6137,0.0
20.0,6.0,3.0,13.66,1.0879,0.0
15.0,7.0,3.0,9.7592,5.6361,0.0
16.0,7.0,3.0,10.498,5.114,0.0
17.0,7.0,3.0,11.237,4.5913,0.0
18.0,7.0,3.0,11.977,4.0682,0.0
19.0,7.0,3.0,12.717,3.5445,0.0
20.0,7.0,3.0,13.459,3.0203,0.0
15.0,8.0,3.0,9.5642,7.5545,0.0
16.0,8.0,3.0,10.301,7.0341,0.0
17.0,8.0,3.0,11.039,6.5131,0.0
18.0,8.0,3.0,11.778,5.9917,0.0
19.0,8.0,3.0,12.517,5.4697,0.0
20.0,8.0,3.0,13.258,4.9473,0.0
15.0,9.0,3.0,9.3689,9.4676,0.0
16.0,9.0,3.0,10.105,8.9489,0.0
17.0,9.0,3.0,10.842,8.4296,0.0
18.0,9.0,3.0,11.579,7.9099,0.0
19.0,9.0,3.0,12.317,7.3896,0.0
20.0,9.0,3.0,13.056,6.8689,0.0
15.0,10.0,3.0,9.1728,11.376,0.0
16.0,10.0,3.0,9.9075,10.859,0.0
17.0,10.0,3.0,10.643,10.341,0.0
18.0,10.0,3.0,11.379,9.8229,0.0
19.0,10.0,3.0,12.116,9.3044,0.0
20.0,10.0,3.0,12.854,8.7853,0.0
15.0,11.0,3.0,8.9757,13.279,0.0
16.0,11.0,3.0,9.7092,12.763,0.0
17.0,11.0,3.0,10.443,12.248,0.0
18.0,11.0,3.0,11.178,11.731,0.0
19.0,11.0,3.0,11.914,11.214,0.0
20.0,11.0,3.0,12.65,10.697,0.0
15.0,12.0,3.0,8.7771,15.177,0.0
16.0,12.0,3.0,9.5093,14.664,0.0
17.0,12.0,3.0,10.242,14.15,0.0
18.0,12.0,3.0,10.976,13.635,0.0
19.0,12.0,3.0,11.71,13.12,0.0
20.0,12.0,3.0,12.445,12.604,0.0
15.0,13.0,3.0,8.5766,17.072,0.0
16.0,13.0,3.0,9.3075,16.56,0.0
17.0,13.0,3.0,10.039,16.047,0.0
18.0,13.0,3.0,10.772,15.535,0.0
19.0,13.0,3.0,11.505,15.021,0.0
20.0,13.0,3.0,12.238,14.507,0.0
15.0,14.0,3.0,8.3734,18.963,0.0
16.0,14.0,3.0,9.103,18.453,0.0
17.0,14.0,3.0,9.8333,17.942,0.0
18.0,14.0,3.0,10.564,17.431,0.0
19.0,14.0,3.0,11.296,16.919,0.0
20.0,14.0,3.0,12.028,16.407,0.0
15.0,15.0,3.0,8.1664,20.851,0.0
16.0,15.0,3.0,8.8945,20.343,0.0
17.0,15.0,3.0,9.6234,19.834,0.0
18.0,15.0,3.0,10.353,19.324,0.0
19.0,15.0,3.0,11.083,18.815,0.0
20.0,15.0,3.0,11.814,18.304,0.0
15.0,1.0,4.0,2.5185,0.0,8.9135
16.0,1.0,4.0,2.5197,0.0,9.7539
17.0,1.0,4.0,2.5208,0.0,10.598
18.0,1.0,4.0,2.522,0.0,11.446
19.0,1.0,4.0,2.5232,0.0,12.297
20.0,1.0,4.0,2.5244,0.0,13.152
15.0,2.0,4.0,5.006,0.0,3.5127
16.0,2.0,4.0,5.0255,0.0,6.0572
17.0,2.0,4.0,5.0336,0.0,7.4538
18.0,2.0,4.0,5.0359,0.0,8.2866
19.0,2.0,4.0,5.0383,0.0,9.1236
20.0,2.0,4.0,5.0406,0.0,9.9647
15.0,3.0,4.0,7.4688,0.0,2.4902
16.0,3.0,4.0,7.4688,0.0,3.1445
17.0,3.0,4.0,7.4727,0.0,3.7981
18.0,3.0,4.0,7.4795,0.0,4.4529
19.0,3.0,4.0,7.4912,0.0,0.59278
20.0,3.0,4.0,7.5119,0.0,3.1366
15.0,4.0,4.0,10.022,0.0,0.060027
16.0,4.0,4.0,9.9943,0.0,0.73876
17.0,4.0,4.0,9.9752,0.0,1.4084
18.0,4.0,4.0,9.9637,0.0,2.0709
19.0,4.0,4.0,9.9589,0.0,2.7279
20.0,4.0,4.0,9.9596,0.0,3.3813
15.0,5.0,4.0,10.04,1.7676,0.0
16.0,5.0,4.0,10.774,1.2469,0.0
17.0,5.0,4.0,11.508,0.7257,0.0
18.0,5.0,4.0,12.244,0.204,0.0
19.0,5.0,4.0,12.516,0.0,0.29206
20.0,5.0,4.0,12.483,0.0,0.97743
15.0,6.0,4.0,9.8442,3.6799,0.0
16.0,6.0,4.0,10.577,3.1608,0.0
17.0,6.0,4.0,11.31,2.6413,0.0
18.0,6.0,4.0,12.045,2.1213,0.0
19.0,6.0,4.0,12.78,1.6008,0.0
20.0,6.0,4.0,13.515,1.0797,0.0
15.0,7.0,4.0,9.6479,5.587,0.0
16.0,7.0,4.0,10.379,5.0697,0.0
17.0,7.0,4.0,11.112,4.5518,0.0
18.0,7.0,4.0,11.845,4.0335,0.0
19.0,7.0,4.0,12.578,3.5146,0.0
20.0,7.0,4.0,13.313,2.9952,0.0
15.0,8.0,4.0,9.4506,7.4893,0.0
16.0,8.0,4.0,10.181,6.9736,0.0
17.0,8.0,4.0,10.912,6.4575,0.0
18.0,8.0,4.0,11.644,5.9408,0.0
19.0,8.0,4.0,12.376,5.4236,0.0
20.0,8.0,4.0,13.109,4.9059,0.0
15.0,9.0,4.0,9.2519,9.3871,0.0
16.0,9.0,4.0,9.9811,8.8731,0.0
17.0,9.0,4.0,10.711,8.3585,0.0
18.0,9.0,4.0,11.441,7.8435,0.0
19.0,9.0,4.0,12.173,7.328,0.0
20.0,9.0,4.0,12.905,6.812,0.0
15.0,10.0,4.0,9.0515,11.281,0.0
16.0,10.0,4.0,9.7794,10.768,0.0
17.0,10.0,4.0,10.508,10.255,0.0
18.0,10.0,4.0,11.237,9.7421,0.0
19.0,10.0,4.0,11.967,9.2283,0.0
20.0,10.0,4.0,12.698,8.714,0.0
15.0,11.0,4.0,8.8486,13.17,0.0
16.0,11.0,4.0,9.5751,12.66,0.0
17.0,11.0,4.0,10.302,12.149,0.0
18.0,11.0,4.0,11.03,11.637,0.0
19.0,11.0,4.0,11.759,11.125,0.0
20.0,11.0,4.0,12.488,10.612,0.0
15.0,12.0,4.0,8.6422,15.057,0.0
16.0,12.0,4.0,9.3674,14.548,0.0
17.0,12.0,4.0,10.093,14.039,0.0
18.0,12.0,4.0,10.82,13.529,0.0
19.0,12.0,4.0,11.547,13.019,0.0
20.0,12.0,4.0,12.275,12.508,0.0
15.0,13.0,4.0,8.4311,16.942,0.0
16.0,13.0,4.0,9.1547,16.435,0.0
17.0,13.0,4.0,9.8791,15.928,0.0
18.0,13.0,4.0,10.604,15.42,0.0
19.0,13.0,4.0,11.33,14.912,0.0
20.0,13.0,4.0,12.056,14.403,0.0
15.0,14.0,4.0,8.2128,18.827,0.0
16.0,14.0,4.0,8.9346,18.322,0.0
17.0,14.0,4.0,9.6571,17.817,0.0
18.0,14.0,4.0,10.38,17.311,0.0
19.0,14.0,4.0,11.104,16.805,0.0
20.0,14.0,4.0,11.828,16.298,0.0
15.0,15.0,4.0,7.9834,20.714,0.0
16.0,15.0,4.0,8.7029,20.212,0.0
17.0,15.0,4.0,9.423,19.709,0.0
18.0,15.0,4.0,10.144,19.206,0.0
19.0,15.0,4.0,10.865,18.702,0.0
20.0,15.0,4.0,11.586,18.198,0.0
15.0,1.0,5.0,2.3645,0.0,7.2599
16.0,1.0,5.0,2.3773,0.0,7.9064
17.0,1.0,5.0,2.3912,0.0,8.5573
18.0,1.0,5.0,2.4088,0.0,2.1079
19.0,1.0,5.0,2.427,0.0,4.6333
20.0,1.0,5.0,2.4452,0.0,7.161
15.0,2.0,5.0,4.7849,0.0,4.9445
16.0,2.0,5.0,4.7891,0.0,5.5855
17.0,2.0,5.0,4.7974,0.0,6.2245
18.0,2.0,5.0,4.809,0.0,6.8629
19.0,2.0,5.0,4.8232,0.0,7.5019
20.0,2.0,5.0,4.8395,0.0,8.143
15.0,3.0,5.0,7.2656,0.0,2.5979
16.0,3.0,5.0,7.2441,0.0,3.2629
17.0,3.0,5.0,7.2309,0.0,3.9192
18.0,3.0,5.0,7.225,0.0,4.5683
19.0,3.0,5.0,7.2255,0.0,5.2118
20.0,3.0,5.0,7.2315,0.0,5.8509
15.0,4.0,5.0,9.9165,0.0,0.058671
16.0,4.0,5.0,9.8385,0.0,0.7898
17.0,4.0,5.0,9.7772,0.0,1.5013
18.0,4.0,5.0,9.7304,0.0,2.196
19.0,4.0,5.0,9.696,0.0,2.8765
20.0,4.0,5.0,9.6726,0.0,3.5449
15.0,5.0,5.0,9.9295,1.7557,0.0
16.0,5.0,5.0,10.657,1.2398,0.0
17.0,5.0,5.0,11.384,0.72336,0.0
18.0,5.0,5.0,12.113,0.20643,0.0
19.0,5.0,5.0,12.362,0.0,0.31531
20.0,5.0,5.0,12.272,0.0,1.0625
15.0,6.0,5.0,9.7311,3.6522,0.0
16.0,6.0,5.0,10.457,3.1379,0.0
17.0,6.0,5.0,11.184,2.6232,0.0
18.0,6.0,5.0,11.911,2.1079,0.0
19.0,6.0,5.0,12.639,1.5921,0.0
20.0,6.0,5.0,13.368,1.0758,0.0
15.0,7.0,5.0,9.531,5.5444,0.0
16.0,7.0,5.0,10.256,5.0318,0.0
17.0,7.0,5.0,10.981,4.5187,0.0
18.0,7.0,5.0,11.707,4.0052,0.0
19.0,7.0,5.0,12.434,3.4911,0.0
20.0,7.0,5.0,13.162,2.9765,0.0
15.0,8.0,5.0,9.3286,7.4329,0.0
16.0,8.0,5.0,10.052,6.922,0.0
17.0,8.0,5.0,10.776,6.4106,0.0
18.0,8.0,5.0,11.501,5.8988,0.0
19.0,8.0,5.0,12.226,5.3864,0.0
20.0,8.0,5.0,12.953,4.8735,0.0
15.0,9.0,5.0,9.1229,9.3183,0.0
16.0,9.0,5.0,9.8449,8.8092,0.0
17.0,9.0,5.0,10.568,8.2996,0.0
18.0,9.0,5.0,11.291,7.7895,0.0
19.0,9.0,5.0,12.015,7.2789,0.0
20.0,9.0,5.0,12.74,6.7678,0.0
15.0,10.0,5.0,8.9125,11.202,0.0
