Ni,Ti,Al,Ni3Ti,Laves,FCC
16.0,10.0,5.0,9.6331,10.694,0.0
17.0,10.0,5.0,10.354,10.187,0.0
18.0,10.0,5.0,11.076,9.6785,0.0
19.0,10.0,5.0,11.799,9.1698,0.0
20.0,10.0,5.0,12.522,8.6607,0.0
15.0,11.0,5.0,8.6953,13.085,0.0
16.0,11.0,5.0,9.414,12.579,0.0
17.0,11.0,5.0,10.133,12.074,0.0
18.0,11.0,5.0,10.853,11.568,0.0
19.0,11.0,5.0,11.574,11.061,0.0
20.0,11.0,5.0,12.295,10.554,0.0
15.0,12.0,5.0,8.4675,14.97,0.0
16.0,12.0,5.0,9.1839,14.467,0.0
17.0,12.0,5.0,9.9007,13.964,0.0
18.0,12.0,5.0,10.618,13.46,0.0
19.0,12.0,5.0,11.336,12.956,0.0
20.0,12.0,5.0,11.959,12.485,0.10222
15.0,13.0,5.0,7.6655,17.053,0.60328
16.0,13.0,5.0,8.2395,16.6,0.75446
17.0,13.0,5.0,8.8139,16.148,0.90578
18.0,13.0,5.0,9.389,15.695,1.0572
19.0,13.0,5.0,9.9645,15.241,1.2088
20.0,13.0,5.0,10.541,14.787,1.3606
15.0,14.0,5.0,6.2588,19.339,1.856
16.0,14.0,5.0,6.8312,18.889,2.0075
17.0,14.0,5.0,7.4041,18.438,2.1592
18.0,14.0,5.0,7.9776,17.986,2.311
19.0,14.0,5.0,8.5516,17.535,2.4629
20.0,14.0,5.0,9.1261,17.083,2.615
15.0,15.0,5.0,4.8564,21.619,3.1049
16.0,15.0,5.0,5.4273,21.17,3.2567
17.0,15.0,5.0,5.9987,20.721,3.4087
18.0,15.0,5.0,6.5706,20.271,3.5608
19.0,15.0,5.0,7.1431,19.821,3.7131
20.0,15.0,5.0,7.7161,19.371,3.8655
15.0,1.0,6.0,2.0742,0.0,7.4388
16.0,1.0,6.0,2.0843,0.0,8.0649
17.0,1.0,6.0,2.0985,0.0,8.6883
18.0,1.0,6.0,2.1161,0.0,9.31
19.0,1.0,6.0,2.1366,0.0,9.9311
20.0,1.0,6.0,2.1594,0.0,10.553
15.0,2.0,6.0,4.4679,0.0,5.1963
16.0,2.0,6.0,4.4556,0.0,5.8439
17.0,2.0,6.0,4.4508,0.0,6.4837
18.0,2.0,6.0,4.4526,0.0,7.1167
19.0,2.0,6.0,4.4604,0.0,7.7441
20.0,2.0,6.0,4.4734,0.0,8.3671
15.0,3.0,6.0,6.9853,0.0,2.8149
16.0,3.0,6.0,6.9275,0.0,3.5156
17.0,3.0,6.0,6.8836,0.0,4.2001
18.0,3.0,6.0,6.8518,0.0,4.8707
19.0,3.0,6.0,6.8307,0.0,5.5292
20.0,3.0,6.0,6.819,0.0,6.1771
15.0,4.0,6.0,9.8102,0.0,0.062332
16.0,4.0,6.0,9.6474,0.0,0.88909
17.0,4.0,6.0,9.5177,0.0,1.6765
18.0,4.0,6.0,9.4146,0.0,2.4323
19.0,4.0,6.0,9.3336,0.0,3.162
20.0,4.0,6.0,9.271,0.0,3.87
15.0,5.0,6.0,9.8095,1.7522,0.0
16.0,5.0,6.0,10.53,1.2412,0.0
17.0,5.0,6.0,11.25,0.72964,0.0
18.0,5.0,6.0,11.972,0.21762,0.0
19.0,5.0,6.0,12.188,0.0,0.3714
20.0,5.0,6.0,11.999,0.0,1.2307
15.0,6.0,6.0,9.6042,3.6363,0.0
16.0,6.0,6.0,10.323,3.127,0.0
17.0,6.0,6.0,11.042,2.6173,0.0
18.0,6.0,6.0,11.762,2.107,0.0
19.0,6.0,6.0,12.483,1.5963,0.0
20.0,6.0,6.0,13.205,1.0851,0.0
15.0,7.0,6.0,9.3941,5.5184,0.0
16.0,7.0,6.0,10.111,5.011,0.0
17.0,7.0,6.0,10.829,4.5031,0.0
18.0,7.0,6.0,11.548,3.9948,0.0
19.0,7.0,6.0,12.267,3.486,0.0
20.0,7.0,6.0,12.987,2.9767,0.0
15.0,8.0,6.0,9.1773,7.3999,0.0
16.0,8.0,6.0,9.8926,6.8946,0.0
17.0,8.0,6.0,10.609,6.3888,0.0
18.0,8.0,6.0,11.325,5.8826,0.0
19.0,8.0,6.0,12.042,5.376,0.0
20.0,8.0,6.0,12.76,4.869,0.0
15.0,9.0,6.0,8.9502,9.2834,0.0
16.0,9.0,6.0,9.6632,8.7805,0.0
17.0,9.0,6.0,10.352,8.2858,0.026627
18.0,9.0,6.0,10.925,7.8309,0.17711
19.0,9.0,6.0,11.499,7.3756,0.32773
20.0,9.0,6.0,12.074,6.9199,0.47849
15.0,10.0,6.0,7.8025,11.484,0.97546
16.0,10.0,6.0,8.3735,11.032,1.126
17.0,10.0,6.0,8.9449,10.579,1.2767
18.0,10.0,6.0,9.517,10.126,1.4275
19.0,10.0,6.0,10.089,9.6727,1.5784
20.0,10.0,6.0,10.663,9.2188,1.7295
15.0,11.0,6.0,6.403,13.768,2.221
16.0,11.0,6.0,6.9724,13.317,2.3718
17.0,11.0,6.0,7.5424,12.866,2.5229
18.0,11.0,6.0,8.1129,12.415,2.674
19.0,11.0,6.0,8.6839,11.963,2.8253
20.0,11.0,6.0,9.2554,11.51,2.9767
15.0,12.0,6.0,5.0078,16.043,3.4626
16.0,12.0,6.0,5.5758,15.595,3.6138
17.0,12.0,6.0,6.1442,15.145,3.7652
18.0,12.0,6.0,6.7132,14.696,3.9166
19.0,12.0,6.0,7.2827,14.246,4.0682
20.0,12.0,6.0,7.8527,13.795,4.22
15.0,13.0,6.0,3.617,18.312,4.7005
16.0,13.0,6.0,4.1834,17.865,4.852
17.0,13.0,6.0,4.7504,17.418,5.0037
18.0,13.0,6.0,5.3178,16.97,5.1555
19.0,13.0,6.0,5.8858,16.521,5.3074
20.0,13.0,6.0,6.4543,16.073,5.4594
15.0,14.0,6.0,2.2304,20.574,5.9345
16.0,14.0,6.0,2.7953,20.129,6.0864
17.0,14.0,6.0,3.3608,19.683,6.2383
18.0,14.0,6.0,3.9267,19.237,6.3904
19.0,14.0,6.0,4.4932,18.79,6.5427
20.0,14.0,6.0,5.0602,18.343,6.6951
15.0,15.0,6.0,0.84805,22.829,7.1647
16.0,15.0,6.0,1.4115,22.386,7.3169
17.0,15.0,6.0,1.9755,21.942,7.4692
18.0,15.0,6.0,2.54,21.497,7.6216
19.0,15.0,6.0,3.1049,21.052,7.7742
20.0,15.0,6.0,3.6704,20.607,7.9269
15.0,1.0,7.0,1.6387,0.0,7.8458
16.0,1.0,7.0,1.637,0.0,8.4744
17.0,1.0,7.0,1.642,0.0,9.0959
18.0,1.0,7.0,1.6529,0.0,9.7114
19.0,1.0,7.0,1.6691,0.0,10.322
20.0,1.0,7.0,1.6902,0.0,10.928
15.0,2.0,7.0,4.0181,0.0,5.6286
16.0,2.0,7.0,3.9811,0.0,6.2982
17.0,2.0,7.0,3.9554,0.0,6.9548
18.0,2.0,7.0,3.9396,0.0,7.6
19.0,2.0,7.0,3.9328,0.0,8.2351
20.0,2.0,7.0,3.934,0.0,8.8613
15.0,3.0,7.0,6.5848,0.0,3.1856
16.0,3.0,7.0,6.4772,0.0,3.9396
17.0,3.0,7.0,6.3919,0.0,4.6674
18.0,3.0,7.0,6.3254,0.0,5.3731
19.0,3.0,7.0,6.275,0.0,6.0598
20.0,3.0,7.0,6.2386,0.0,6.7302
15.0,4.0,7.0,9.6901,0.0,0.10051
16.0,4.0,7.0,9.3718,0.0,1.1036
17.0,4.0,7.0,9.134,0.0,2.0123
18.0,4.0,7.0,8.9503,0.0,2.8575
19.0,4.0,7.0,8.8064,0.0,3.6559
20.0,4.0,7.0,8.6934,0.0,4.4177
15.0,5.0,7.0,9.6567,1.7734,0.0
16.0,5.0,7.0,10.369,1.2681,0.0
17.0,5.0,7.0,11.081,0.76238,0.0
18.0,5.0,7.0,11.794,0.25621,0.0
19.0,5.0,7.0,11.929,0.0,0.55271
20.0,5.0,7.0,11.563,0.0,1.6116
15.0,6.0,7.0,9.3346,3.6888,0.10149
16.0,6.0,7.0,9.9042,3.2347,0.25107
17.0,6.0,7.0,10.474,2.7801,0.40079
18.0,6.0,7.0,11.045,2.3252,0.55065
19.0,6.0,7.0,11.616,1.8698,0.70064
20.0,6.0,7.0,12.187,1.414,0.85076
15.0,7.0,7.0,7.938,5.9753,1.3437
16.0,7.0,7.0,8.506,5.5229,1.4936
17.0,7.0,7.0,9.0746,5.0701,1.6436
18.0,7.0,7.0,9.6436,4.6169,1.7938
19.0,7.0,7.0,10.213,4.1632,1.9441
20.0,7.0,7.0,10.783,3.7092,2.0946
15.0,8.0,7.0,6.5457,8.2548,2.5821
16.0,8.0,7.0,7.1122,7.8041,2.7323
17.0,8.0,7.0,7.6792,7.353,2.8827
18.0,8.0,7.0,8.2468,6.9015,3.0332
19.0,8.0,7.0,8.8148,6.4496,3.1838
20.0,8.0,7.0,9.3834,5.9973,3.3346
15.0,9.0,7.0,5.1577,10.527,3.8166
16.0,9.0,7.0,5.7227,10.078,3.9672
17.0,9.0,7.0,6.2882,9.6289,4.1179
18.0,9.0,7.0,6.8542,9.1791,4.2687
19.0,9.0,7.0,7.4208,8.7289,4.4197
20.0,9.0,7.0,7.9878,8.2783,4.5708
15.0,10.0,7.0,3.7739,12.793,5.0474
16.0,10.0,7.0,4.3374,12.345,5.1983
17.0,10.0,7.0,4.9015,11.898,5.3493
18.0,10.0,7.0,5.466,11.45,5.5005
19.0,10.0,7.0,6.0311,11.001,5.6517
20.0,10.0,7.0,6.5966,10.552,5.8032
15.0,11.0,7.0,2.3944,15.051,6.2744
16.0,11.0,7.0,2.9564,14.606,6.4256
17.0,11.0,7.0,3.519,14.16,6.577
18.0,11.0,7.0,4.082,13.713,6.7284
19.0,11.0,7.0,4.6456,13.267,6.88
20.0,11.0,7.0,5.2097,12.819,7.0318
15.0,12.0,7.0,1.019,17.303,7.4977
16.0,12.0,7.0,1.5796,16.859,7.6492
17.0,12.0,7.0,2.1407,16.415,7.8008
18.0,12.0,7.0,2.7023,15.97,7.9526
19.0,12.0,7.0,3.2644,15.525,8.1045
20.0,12.0,7.0,3.8269,15.079,8.2566
15.0,13.0,7.0,0.0,19.387,8.3945
16.0,13.0,7.0,0.20704,19.105,8.869
17.0,13.0,7.0,0.76665,18.663,9.021
18.0,13.0,7.0,1.3268,18.22,9.1731
19.0,13.0,7.0,1.8874,17.776,9.3253
20.0,13.0,7.0,2.4485,17.333,9.4777
15.0,14.0,7.0,0.0,20.985,8.3769
16.0,14.0,7.0,0.0,20.8,9.0377
17.0,14.0,7.0,0.0,20.619,9.6953
18.0,14.0,7.0,0.0,20.441,10.35
19.0,14.0,7.0,0.51458,20.021,10.542
20.0,14.0,7.0,1.0742,19.579,10.695
15.0,15.0,7.0,0.0,22.545,8.394
16.0,15.0,7.0,0.0,22.362,9.0516
17.0,15.0,7.0,0.0,22.183,9.7058
18.0,15.0,7.0,0.0,22.009,10.357
19.0,15.0,7.0,0.0,21.839,11.004
20.0,15.0,7.0,0.0,21.672,11.649
15.0,1.0,8.0,1.0337,0.0,8.4767
16.0,1.0,8.0,1.0165,0.0,9.1166
17.0,1.0,8.0,1.0083,0.0,9.7461
18.0,1.0,8.0,1.0083,0.0,10.366
19.0,1.0,8.0,1.0157,0.0,10.978
20.0,1.0,8.0,1.0299,0.0,11.583
15.0,2.0,8.0,3.3803,0.0,6.2965
16.0,2.0,8.0,3.3157,0.0,6.9929
17.0,2.0,8.0,3.2666,0.0,7.6713
18.0,2.0,8.0,3.231,0.0,8.3338
19.0,2.0,8.0,3.2073,0.0,8.9824
20.0,2.0,8.0,3.1944,0.0,9.6186
15.0,3.0,8.0,5.9579,0.0,3.8389
16.0,3.0,8.0,5.7957,0.0,4.651
17.0,3.0,8.0,5.6671,0.0,5.4237
18.0,3.0,8.0,5.5656,0.0,6.1648
19.0,3.0,8.0,5.4863,0.0,6.8798
20.0,3.0,8.0,5.4258,0.0,7.5728
15.0,4.0,8.0,8.0721,0.52406,1.7081
16.0,4.0,8.0,8.6372,0.071602,1.8573
17.0,4.0,8.0,8.4272,0.0,2.7536
18.0,4.0,8.0,8.1624,0.0,3.6852
19.0,4.0,8.0,7.9616,0.0,4.5425
20.0,4.0,8.0,7.8062,0.0,5.3472
15.0,5.0,8.0,6.6869,2.7999,2.9394
16.0,5.0,8.0,7.2505,2.3492,3.089
17.0,5.0,8.0,7.8146,1.898,3.2387
18.0,5.0,8.0,8.3792,1.4464,3.3886
19.0,5.0,8.0,8.9443,0.99449,3.5386
20.0,5.0,8.0,9.51,0.54212,3.6887
15.0,6.0,8.0,5.3059,5.0688,4.1669
16.0,6.0,8.0,5.8681,4.6197,4.3168
17.0,6.0,8.0,6.4307,4.1703,4.4669
18.0,6.0,8.0,6.9938,3.7204,4.6171
19.0,6.0,8.0,7.5574,3.2702,4.7674
20.0,6.0,8.0,8.1216,2.8195,4.9179
15.0,7.0,8.0,3.9292,7.3307,5.3907
16.0,7.0,8.0,4.4898,6.8834,5.541
17.0,7.0,8.0,5.051,6.4356,5.6913
18.0,7.0,8.0,5.6126,5.9875,5.8418
19.0,7.0,8.0,6.1748,5.5389,5.9925
20.0,7.0,8.0,6.7374,5.09,6.1433
15.0,8.0,8.0,2.5566,9.5858,6.6108
16.0,8.0,8.0,3.1158,9.1401,6.7614
17.0,8.0,8.0,3.6755,8.6941,6.912
18.0,8.0,8.0,4.2357,8.2476,7.0629
19.0,8.0,8.0,4.7964,7.8007,7.2138
20.0,8.0,8.0,5.3575,7.3535,7.3649
15.0,9.0,8.0,1.1882,11.834,7.8272
16.0,9.0,8.0,1.746,11.39,7.978
17.0,9.0,8.0,2.3042,10.946,8.129
18.0,9.0,8.0,2.8629,10.501,8.2801
19.0,9.0,8.0,3.4221,10.056,8.4314
20.0,9.0,8.0,3.9818,9.6101,8.5828
15.0,10.0,8.0,0.0,13.998,8.8739
16.0,10.0,8.0,0.38029,13.633,9.191
17.0,10.0,8.0,0.93706,13.19,9.3423
18.0,10.0,8.0,1.4943,12.747,9.4937
19.0,10.0,8.0,2.0521,12.304,9.6453
20.0,10.0,8.0,2.6103,11.86,9.797
15.0,11.0,8.0,0.0,15.619,8.8142
16.0,11.0,8.0,0.0,15.425,9.4869
17.0,11.0,8.0,0.0,15.234,10.157
18.0,11.0,8.0,0.1299,14.987,10.704
19.0,11.0,8.0,0.6862,14.545,10.856
20.0,11.0,8.0,1.243,14.103,11.008
15.0,12.0,8.0,0.0,17.212,8.7807
16.0,12.0,8.0,0.0,17.018,9.4516
17.0,12.0,8.0,0.0,16.828,10.119
18.0,12.0,8.0,0.0,16.643,10.784
19.0,12.0,8.0,0.0,16.461,11.446
20.0,12.0,8.0,0.0,16.282,12.105
15.0,13.0,8.0,0.0,18.771,8.7768
16.0,13.0,8.0,0.0,18.578,9.4459
17.0,13.0,8.0,0.0,18.39,10.111
18.0,13.0,8.0,0.0,18.206,10.774
19.0,13.0,8.0,0.0,18.026,11.433
20.0,13.0,8.0,0.0,17.85,12.089
15.0,14.0,8.0,0.0,20.291,8.8067
16.0,14.0,8.0,0.0,20.099,9.4737
17.0,14.0,8.0,0.0,19.912,10.137
18.0,14.0,8.0,0.0,19.73,10.796
19.0,14.0,8.0,0.0,19.553,11.452
20.0,14.0,8.0,0.0,19.38,12.105
15.0,15.0,8.0,0.0,21.763,8.8751
16.0,15.0,8.0,0.0,21.572,9.5397
17.0,15.0,8.0,0.0,21.387,10.2
18.0,15.0,8.0,0.0,21.208,10.857
19.0,15.0,8.0,0.0,21.034,11.509
20.0,15.0,8.0,0.0,20.865,12.158
15.0,1.0,9.0,0.2077,0.0,9.3814
16.0,1.0,9.0,0.17664,0.0,10.032
17.0,1.0,9.0,0.15672,0.0,10.669
18.0,1.0,9.0,0.14682,0.0,11.295
19.0,1.0,9.0,0.14599,0.0,11.911
20.0,1.0,9.0,0.15339,0.0,12.517
15.0,2.0,9.0,2.457,0.0,7.3138
16.0,2.0,9.0,2.3732,0.0,8.0268
17.0,2.0,9.0,2.308,0.0,8.7182
18.0,2.0,9.0,2.2589,0.0,9.3908
19.0,2.0,9.0,2.2239,0.0,10.047
20.0,2.0,9.0,2.2014,0.0,10.689
15.0,3.0,9.0,4.8751,0.0,5.0487
16.0,3.0,9.0,4.6955,0.0,5.873
17.0,3.0,9.0,4.5526,0.0,6.6549
18.0,3.0,9.0,4.4393,0.0,7.4029
19.0,3.0,9.0,4.3501,0.0,8.1229
20.0,3.0,9.0,4.2814,0.0,8.8193
15.0,4.0,9.0,4.0829,1.9257,5.7305
16.0,4.0,9.0,4.6407,1.4783,5.8801
17.0,4.0,9.0,5.199,1.0304,6.0298
18.0,4.0,9.0,5.7577,0.58223,6.1797
19.0,4.0,9.0,6.317,0.13362,6.3297
20.0,4.0,9.0,6.394,0.0,6.9111
15.0,5.0,9.0,2.7172,4.1772,6.9437
16.0,5.0,9.0,3.2736,3.7315,7.0936
17.0,5.0,9.0,3.8304,3.2853,7.2436
18.0,5.0,9.0,4.3877,2.8388,7.3938
19.0,5.0,9.0,4.9456,2.3919,7.5441
20.0,5.0,9.0,5.5039,1.9445,7.6946
15.0,6.0,9.0,1.3557,6.4219,8.1532
16.0,6.0,9.0,1.9106,5.9778,8.3034
17.0,6.0,9.0,2.466,5.5334,8.4538
18.0,6.0,9.0,3.0219,5.0885,8.6043
19.0,6.0,9.0,3.5782,4.6432,8.7549
20.0,6.0,9.0,4.1351,4.1976,8.9056
15.0,7.0,9.0,0.0,8.6591,9.3574
16.0,7.0,9.0,0.55175,8.2174,9.5096
17.0,7.0,9.0,1.1057,7.7746,9.6603
18.0,7.0,9.0,1.6601,7.3314,9.8111
19.0,7.0,9.0,2.2151,6.8878,9.962
20.0,7.0,9.0,2.7705,6.4438,10.113
15.0,8.0,9.0,0.0,10.298,9.266
16.0,8.0,9.0,0.0,10.096,9.9469
17.0,8.0,9.0,0.0,9.8979,10.625
18.0,8.0,9.0,0.30254,9.5675,11.014
19.0,8.0,9.0,0.85604,9.1256,11.165
20.0,8.0,9.0,1.41,8.6833,11.317
15.0,9.0,9.0,0.0,11.914,9.1949
16.0,9.0,9.0,0.0,11.712,9.8749
17.0,9.0,9.0,0.0,11.514,10.552
18.0,9.0,9.0,0.0,11.32,11.226
19.0,9.0,9.0,0.0,11.129,11.898
20.0,9.0,9.0,0.05365,10.916,12.517
15.0,10.0,9.0,0.0,13.504,9.1466
16.0,10.0,9.0,0.0,13.301,9.8257
17.0,10.0,9.0,0.0,13.104,10.502
18.0,10.0,9.0,0.0,12.91,11.174
19.0,10.0,9.0,0.0,12.72,11.844
20.0,10.0,9.0,0.0,12.534,12.511
15.0,11.0,9.0,0.0,15.062,9.124
16.0,11.0,9.0,0.0,14.86,9.8021
17.0,11.0,9.0,0.0,14.662,10.477
18.0,11.0,9.0,0.0,14.47,11.148
19.0,11.0,9.0,0.0,14.281,11.816
20.0,11.0,9.0,0.0,14.097,12.481
15.0,12.0,9.0,0.0,16.585,9.1304
16.0,12.0,9.0,0.0,16.383,9.8075
17.0,12.0,9.0,0.0,16.186,10.481
18.0,12.0,9.0,0.0,15.994,11.15
19.0,12.0,9.0,0.0,15.807,11.816
20.0,12.0,9.0,0.0,15.625,12.479
15.0,13.0,9.0,0.0,18.064,9.1694
16.0,13.0,9.0,0.0,17.863,9.8453
17.0,13.0,9.0,0.0,17.667,10.517
18.0,13.0,9.0,0.0,17.477,11.185
19.0,13.0,9.0,0.0,17.292,11.849
20.0,13.0,9.0,0.0,17.112,12.509
15.0,14.0,9.0,0.0,19.49,9.2448
16.0,14.0,9.0,0.0,19.292,9.9194
17.0,14.0,9.0,0.0,19.099,10.589
18.0,14.0,9.0,0.0,18.912,11.255
19.0,14.0,9.0,0.0,18.73,11.917
20.0,14.0,9.0,0.0,18.553,12.575
15.0,15.0,9.0,0.0,20.705,9.1983
16.0,15.0,9.0,0.0,20.589,9.9515
17.0,15.0,9.0,0.0,20.47,10.702
18.0,15.0,9.0,0.0,20.288,11.365
19.0,15.0,9.0,0.0,20.111,12.025
20.0,15.0,9.0,0.0,19.938,12.68
15.0,1.0,10.0,0.0,0.0,9.5918
16.0,1.0,10.0,0.0,0.0,10.207
17.0,1.0,10.0,0.0,0.0,10.821
18.0,1.0,10.0,0.0,0.0,11.436
19.0,1.0,10.0,0.0,0.0,12.05
20.0,1.0,10.0,0.0,0.0,12.664
15.0,2.0,10.0,1.12,0.0,8.8304
16.0,2.0,10.0,1.0447,0.0,9.5267
17.0,2.0,10.0,0.98606,0.0,10.204
18.0,2.0,10.0,0.94217,0.0,10.864
19.0,2.0,10.0,0.91149,0.0,11.51
20.0,2.0,10.0,0.89269,0.0,12.141
15.0,3.0,10.0,1.5214,1.0657,8.4759
16.0,3.0,10.0,2.0735,0.6216,8.6255
17.0,3.0,10.0,2.6261,0.17707,8.7752
18.0,3.0,10.0,2.8057,0.0,9.2486
19.0,3.0,10.0,2.7492,0.0,9.9236
20.0,3.0,10.0,2.706,0.0,10.583
15.0,4.0,10.0,0.17074,3.3002,9.6751
16.0,4.0,10.0,0.72143,2.8577,9.825
17.0,4.0,10.0,1.2726,2.4148,9.975
18.0,4.0,10.0,1.8243,1.9715,10.125
19.0,4.0,10.0,2.3764,1.5279,10.275
20.0,4.0,10.0,2.929,1.0838,10.426
15.0,5.0,10.0,0.0,5.0249,9.726
16.0,5.0,10.0,0.0,4.8171,10.413
17.0,5.0,10.0,0.0,4.6125,11.097
18.0,5.0,10.0,0.47341,4.2042,11.322
19.0,5.0,10.0,1.0241,3.7622,11.472
20.0,5.0,10.0,1.5753,3.3198,11.623
15.0,6.0,10.0,0.0,6.6578,9.6262
16.0,6.0,10.0,0.0,6.4496,10.312
17.0,6.0,10.0,0.0,6.245,10.996
18.0,6.0,10.0,0.0,6.0437,11.677
19.0,6.0,10.0,0.0,5.8455,12.355
20.0,6.0,10.0,0.22569,5.549,12.816
15.0,7.0,10.0,0.0,8.269,9.5444
16.0,7.0,10.0,0.0,8.0601,10.23
17.0,7.0,10.0,0.0,7.8553,10.913
18.0,7.0,10.0,0.0,7.6543,11.593
19.0,7.0,10.0,0.0,7.4567,12.271
20.0,7.0,10.0,0.0,7.2623,12.946
15.0,8.0,10.0,0.0,9.8555,9.4827
16.0,8.0,10.0,0.0,9.6459,10.168
17.0,8.0,10.0,0.0,9.4408,10.851
18.0,8.0,10.0,0.0,9.2399,11.53
19.0,8.0,10.0,0.0,9.0428,12.206
20.0,8.0,10.0,0.0,8.8494,12.88
15.0,9.0,10.0,0.0,11.414,9.4435
16.0,9.0,10.0,0.0,11.203,10.129
17.0,9.0,10.0,0.0,10.998,10.81
18.0,9.0,10.0,0.0,10.797,11.489
19.0,9.0,10.0,0.0,10.601,12.164
20.0,9.0,10.0,0.0,10.408,12.837
15.0,10.0,10.0,0.0,12.939,9.4293
16.0,10.0,10.0,0.0,12.728,10.114
17.0,10.0,10.0,0.0,12.522,10.795
18.0,10.0,10.0,0.0,12.322,11.473
19.0,10.0,10.0,0.0,12.126,12.147
20.0,10.0,10.0,0.0,11.935,12.818
15.0,11.0,10.0,0.0,14.424,9.4432
16.0,11.0,10.0,0.0,14.214,10.128
17.0,11.0,10.0,0.0,14.009,10.808
18.0,11.0,10.0,0.0,13.81,11.485
19.0,11.0,10.0,0.0,13.615,12.158
20.0,11.0,10.0,0.0,13.425,12.827
15.0,12.0,10.0,0.0,15.862,9.4881
16.0,12.0,10.0,0.0,15.653,10.172
17.0,12.0,10.0,0.0,15.451,10.852
18.0,12.0,10.0,0.0,15.253,11.528
19.0,12.0,10.0,0.0,15.061,12.199
20.0,12.0,10.0,0.0,14.873,12.867
15.0,13.0,10.0,0.0,17.048,9.4115
16.0,13.0,10.0,0.0,16.931,10.16
17.0,13.0,10.0,0.0,16.815,10.909
18.0,13.0,10.0,0.0,16.644,11.605
19.0,13.0,10.0,0.0,16.456,12.275
20.0,13.0,10.0,0.0,16.272,12.941
15.0,14.0,10.0,0.0,18.193,9.3105
16.0,14.0,10.0,0.0,18.077,10.058
17.0,14.0,10.0,0.0,17.961,10.805
18.0,14.0,10.0,0.0,17.845,11.554
19.0,14.0,10.0,0.0,17.729,12.303
20.0,14.0,10.0,0.0,17.612,13.052
15.0,15.0,10.0,0.0,19.334,9.2098
16.0,15.0,10.0,0.0,19.219,9.9558
17.0,15.0,10.0,0.0,19.104,10.702
18.0,15.0,10.0,0.0,18.988,11.45
19.0,15.0,10.0,0.0,18.873,12.198
20.0,15.0,10.0,0.0,18.757,12.946
