Ni,Ti,Al,T_Ni3Ti
22.0,14.0,2.0,868.15
23.0,14.0,2.0,873.15
24.0,14.0,2.0,892.15
25.0,14.0,2.0,910.15
21.0,15.0,2.0,863.15
22.0,15.0,2.0,865.15
23.0,15.0,2.0,872.15
24.0,15.0,2.0,891.15
25.0,15.0,2.0,911.15
21.0,1.0,3.0,852.15
22.0,1.0,3.0,849.15
23.0,1.0,3.0,847.15
24.0,1.0,3.0,845.15
25.0,1.0,3.0,844.15
21.0,2.0,3.0,871.15
22.0,2.0,3.0,872.15
23.0,2.0,3.0,873.15
24.0,2.0,3.0,874.15
25.0,2.0,3.0,874.15
21.0,3.0,3.0,870.15
22.0,3.0,3.0,870.15
23.0,3.0,3.0,871.15
24.0,3.0,3.0,872.15
25.0,3.0,3.0,873.15
21.0,4.0,3.0,868.15
22.0,4.0,3.0,869.15
23.0,4.0,3.0,1251.15
24.0,4.0,3.0,870.15
25.0,4.0,3.0,871.15
21.0,5.0,3.0,828.15
22.0,5.0,3.0,1374.15
23.0,5.0,3.0,1357.15
24.0,5.0,3.0,1339.55
25.0,5.0,3.0,869.15
21.0,6.0,3.0,863.15
22.0,6.0,3.0,864.15
23.0,6.0,3.0,865.15
24.0,6.0,3.0,866.15
25.0,6.0,3.0,867.15
21.0,7.0,3.0,860.15
22.0,7.0,3.0,861.15
23.0,7.0,3.0,863.15
24.0,7.0,3.0,864.15
25.0,7.0,3.0,865.15
21.0,8.0,3.0,857.15
22.0,8.0,3.0,858.15
23.0,8.0,3.0,860.15
24.0,8.0,3.0,861.15
25.0,8.0,3.0,863.15
21.0,9.0,3.0,853.15
22.0,9.0,3.0,855.15
23.0,9.0,3.0,857.15
24.0,9.0,3.0,858.15
25.0,9.0,3.0,860.15
21.0,10.0,3.0,849.15
22.0,10.0,3.0,851.15
23.0,10.0,3.0,853.15
24.0,10.0,3.0,855.15
25.0,10.0,3.0,856.15
21.0,11.0,3.0,844.15
22.0,11.0,3.0,846.15
23.0,11.0,3.0,849.15
24.0,11.0,3.0,851.15
25.0,11.0,3.0,853.15
21.0,12.0,3.0,838.15
22.0,12.0,3.0,841.15
23.0,12.0,3.0,844.15
24.0,12.0,3.0,846.15
25.0,12.0,3.0,848.15
21.0,13.0,3.0,832.15
22.0,13.0,3.0,835.15
23.0,13.0,3.0,838.15
24.0,13.0,3.0,841.15
25.0,13.0,3.0,844.15
21.0,14.0,3.0,824.15
22.0,14.0,3.0,828.15
23.0,14.0,3.0,832.15
24.0,14.0,3.0,835.15
25.0,14.0,3.0,838.15
21.0,15.0,3.0,815.15
22.0,15.0,3.0,820.15
23.0,15.0,3.0,824.15
24.0,15.0,3.0,828.15
25.0,15.0,3.0,831.15
21.0,1.0,4.0,817.15
22.0,1.0,4.0,815.15
23.0,1.0,4.0,813.15
24.0,1.0,4.0,811.15
25.0,1.0,4.0,809.15
21.0,2.0,4.0,1019.15
22.0,2.0,4.0,1003.15
23.0,2.0,4.0,987.15
24.0,2.0,4.0,854.15
25.0,2.0,4.0,855.15
21.0,3.0,4.0,1154.55
22.0,3.0,4.0,1138.75
23.0,3.0,4.0,1122.15
24.0,3.0,4.0,1105.15
25.0,3.0,4.0,1088.75
21.0,4.0,4.0,842.15
22.0,4.0,4.0,844.15
23.0,4.0,4.0,846.15
24.0,4.0,4.0,1220.55
25.0,4.0,4.0,1204.03
21.0,5.0,4.0,838.15
22.0,5.0,4.0,840.15
23.0,5.0,4.0,842.15
24.0,5.0,4.0,844.15
25.0,5.0,4.0,846.15
21.0,6.0,4.0,833.15
22.0,6.0,4.0,835.15
23.0,6.0,4.0,838.15
24.0,6.0,4.0,840.15
25.0,6.0,4.0,842.15
21.0,7.0,4.0,828.15
22.0,7.0,4.0,830.15
23.0,7.0,4.0,833.15
24.0,7.0,4.0,835.15
25.0,7.0,4.0,837.15
21.0,8.0,4.0,821.15
22.0,8.0,4.0,824.15
23.0,8.0,4.0,827.15
24.0,8.0,4.0,830.15
25.0,8.0,4.0,832.15
21.0,9.0,4.0,814.15
22.0,9.0,4.0,818.15
23.0,9.0,4.0,821.15
24.0,9.0,4.0,824.15
25.0,9.0,4.0,827.15
21.0,10.0,4.0,806.15
22.0,10.0,4.0,810.15
23.0,10.0,4.0,814.15
24.0,10.0,4.0,817.15
25.0,10.0,4.0,820.15
21.0,11.0,4.0,797.15
22.0,11.0,4.0,801.15
23.0,11.0,4.0,806.15
24.0,11.0,4.0,810.15
25.0,11.0,4.0,813.15
21.0,12.0,4.0,786.15
22.0,12.0,4.0,791.15
23.0,12.0,4.0,796.15
24.0,12.0,4.0,801.15
25.0,12.0,4.0,805.15
21.0,13.0,4.0,774.15
22.0,13.0,4.0,780.15
23.0,13.0,4.0,785.15
24.0,13.0,4.0,790.15
25.0,13.0,4.0,795.15
21.0,14.0,4.0,759.15
22.0,14.0,4.0,766.15
23.0,14.0,4.0,773.15
24.0,14.0,4.0,779.15
25.0,14.0,4.0,784.15
21.0,15.0,4.0,742.15
22.0,15.0,4.0,750.15
23.0,15.0,4.0,758.15
24.0,15.0,4.0,765.15
25.0,15.0,4.0,772.15
21.0,2.0,5.0,819.15
22.0,2.0,5.0,822.15
23.0,2.0,5.0,973.35
24.0,2.0,5.0,828.55
25.0,2.0,5.0,831.349
21.0,3.0,5.0,814.15
22.0,3.0,5.0,816.15
23.0,3.0,5.0,819.15
24.0,3.0,5.0,822.15
25.0,3.0,5.0,824.15
21.0,4.0,5.0,807.15
22.0,4.0,5.0,810.15
23.0,4.0,5.0,813.15
24.0,4.0,5.0,816.15
25.0,4.0,5.0,819.15
21.0,5.0,5.0,800.15
22.0,5.0,5.0,803.15
23.0,5.0,5.0,807.15
24.0,5.0,5.0,810.15
25.0,5.0,5.0,813.15
21.0,6.0,5.0,792.15
22.0,6.0,5.0,796.15
23.0,6.0,5.0,799.15
24.0,6.0,5.0,803.15
25.0,6.0,5.0,806.15
21.0,7.0,5.0,782.15
22.0,7.0,5.0,787.15
23.0,7.0,5.0,791.15
24.0,7.0,5.0,795.15
25.0,7.0,5.0,799.15
21.0,8.0,5.0,772.15
22.0,8.0,5.0,777.15
23.0,8.0,5.0,782.15
24.0,8.0,5.0,786.15
25.0,8.0,5.0,790.15
21.0,9.0,5.0,760.15
22.0,9.0,5.0,766.15
23.0,9.0,5.0,771.15
24.0,9.0,5.0,776.15
25.0,9.0,5.0,781.15
21.0,10.0,5.0,746.15
22.0,10.0,5.0,753.15
23.0,10.0,5.0,759.15
24.0,10.0,5.0,765.15
25.0,10.0,5.0,770.15
21.0,11.0,5.0,731.15
22.0,11.0,5.0,738.15
23.0,11.0,5.0,745.15
24.0,11.0,5.0,752.15
25.0,11.0,5.0,758.15
21.0,12.0,5.0,712.15
22.0,12.0,5.0,721.15
23.0,12.0,5.0,729.15
24.0,12.0,5.0,737.15
25.0,12.0,5.0,744.15
21.0,13.0,5.0,690.15
22.0,13.0,5.0,701.15
23.0,13.0,5.0,711.15
24.0,13.0,5.0,720.15
25.0,13.0,5.0,728.15
21.0,14.0,5.0,664.15
22.0,14.0,5.0,677.15
23.0,14.0,5.0,689.15
24.0,14.0,5.0,699.15
25.0,14.0,5.0,709.15
21.0,15.0,5.0,633.15
22.0,15.0,5.0,648.15
23.0,15.0,5.0,662.15
24.0,15.0,5.0,675.15
25.0,15.0,5.0,687.15
21.0,1.0,6.0,679.15
22.0,1.0,6.0,678.15
23.0,1.0,6.0,678.15
24.0,1.0,6.0,679.15
25.0,1.0,6.0,680.15
21.0,2.0,6.0,780.15
22.0,2.0,6.0,784.15
23.0,2.0,6.0,787.539
24.0,2.0,6.0,788.15
25.0,2.0,6.0,786.15
21.0,3.0,6.0,771.15
22.0,3.0,6.0,775.15
23.0,3.0,6.0,779.15
24.0,3.0,6.0,783.15
25.0,3.0,6.0,787.15
21.0,4.0,6.0,761.15
22.0,4.0,6.0,766.15
23.0,4.0,6.0,770.15
24.0,4.0,6.0,774.15
25.0,4.0,6.0,779.15
21.0,5.0,6.0,750.15
22.0,5.0,6.0,755.15
23.0,5.0,6.0,760.15
24.0,5.0,6.0,765.15
25.0,5.0,6.0,769.15
21.0,6.0,6.0,737.15
22.0,6.0,6.0,743.15
23.0,6.0,6.0,749.15
24.0,6.0,6.0,754.15
25.0,6.0,6.0,759.15
21.0,7.0,6.0,722.15
22.0,7.0,6.0,729.15
23.0,7.0,6.0,736.15
24.0,7.0,6.0,742.15
25.0,7.0,6.0,748.15
21.0,8.0,6.0,705.15
22.0,8.0,6.0,713.15
23.0,8.0,6.0,721.15
24.0,8.0,6.0,728.15
25.0,8.0,6.0,735.15
21.0,9.0,6.0,686.15
22.0,9.0,6.0,695.15
23.0,9.0,6.0,704.15
24.0,9.0,6.0,712.15
25.0,9.0,6.0,720.15
21.0,10.0,6.0,663.15
22.0,10.0,6.0,674.15
23.0,10.0,6.0,685.15
24.0,10.0,6.0,694.15
25.0,10.0,6.0,703.15
21.0,11.0,6.0,637.15
22.0,11.0,6.0,650.15
23.0,11.0,6.0,662.15
24.0,11.0,6.0,673.15
25.0,11.0,6.0,683.15
21.0,12.0,6.0,606.15
22.0,12.0,6.0,621.15
23.0,12.0,6.0,635.15
24.0,12.0,6.0,648.15
25.0,12.0,6.0,660.15
21.0,13.0,6.0,569.15
22.0,13.0,6.0,587.15
23.0,13.0,6.0,603.15
24.0,13.0,6.0,619.15
25.0,13.0,6.0,633.15
21.0,14.0,6.0,525.15
22.0,14.0,6.0,546.15
23.0,14.0,6.0,566.15
24.0,14.0,6.0,584.15
25.0,14.0,6.0,601.15
21.0,15.0,6.0,474.15
22.0,15.0,6.0,498.15
23.0,15.0,6.0,521.15
24.0,15.0,6.0,542.15
25.0,15.0,6.0,562.15
21.0,1.0,7.0,522.15
22.0,1.0,7.0,524.15
23.0,1.0,7.0,527.15
24.0,1.0,7.0,532.15
25.0,1.0,7.0,538.15
21.0,2.0,7.0,723.15
22.0,2.0,7.0,720.15
23.0,2.0,7.0,717.15
24.0,2.0,7.0,715.15
25.0,2.0,7.0,714.15
21.0,3.0,7.0,716.15
22.0,3.0,7.0,722.15
23.0,3.0,7.0,728.15
24.0,3.0,7.0,734.15
25.0,3.0,7.0,739.15
21.0,4.0,7.0,700.15
22.0,4.0,7.0,708.15
23.0,4.0,7.0,715.15
24.0,4.0,7.0,721.15
25.0,4.0,7.0,727.15
21.0,5.0,7.0,683.15
22.0,5.0,7.0,691.15
23.0,5.0,7.0,699.15
24.0,5.0,7.0,707.15
25.0,5.0,7.0,713.15
21.0,6.0,7.0,663.15
22.0,6.0,7.0,673.15
23.0,6.0,7.0,682.15
24.0,6.0,7.0,690.15
25.0,6.0,7.0,698.15
21.0,7.0,7.0,640.15
22.0,7.0,7.0,651.15
23.0,7.0,7.0,662.15
24.0,7.0,7.0,671.15
25.0,7.0,7.0,680.15
21.0,8.0,7.0,614.15
22.0,8.0,7.0,627.15
23.0,8.0,7.0,639.15
24.0,8.0,7.0,650.15
25.0,8.0,7.0,660.15
21.0,9.0,7.0,583.15
22.0,9.0,7.0,598.15
23.0,9.0,7.0,612.15
24.0,9.0,7.0,625.15
25.0,9.0,7.0,637.15
21.0,10.0,7.0,548.15
22.0,10.0,7.0,565.15
23.0,10.0,7.0,581.15
24.0,10.0,7.0,596.15
25.0,10.0,7.0,610.15
21.0,11.0,7.0,507.15
22.0,11.0,7.0,527.15
23.0,11.0,7.0,545.15
24.0,11.0,7.0,562.15
25.0,11.0,7.0,578.15
21.0,12.0,7.0,461.15
22.0,12.0,7.0,482.15
23.0,12.0,7.0,503.15
24.0,12.0,7.0,523.15
25.0,12.0,7.0,541.15
21.0,13.0,7.0,408.15
22.0,13.0,7.0,432.15
23.0,13.0,7.0,455.15
24.0,13.0,7.0,477.15
25.0,13.0,7.0,498.15
21.0,14.0,7.0,350.15
22.0,14.0,7.0,375.15
23.0,14.0,7.0,401.15
24.0,14.0,7.0,425.15
25.0,14.0,7.0,449.15
22.0,15.0,7.0,313.15
23.0,15.0,7.0,339.15
24.0,15.0,7.0,366.15
25.0,15.0,7.0,392.15
21.0,1.0,8.0,375.15
22.0,1.0,8.0,377.15
23.0,1.0,8.0,380.15
24.0,1.0,8.0,384.15
25.0,1.0,8.0,388.15
21.0,2.0,8.0,620.15
22.0,2.0,8.0,616.15
23.0,2.0,8.0,612.15
24.0,2.0,8.0,610.15
25.0,2.0,8.0,608.15
21.0,3.0,8.0,643.15
22.0,3.0,8.0,652.15
23.0,3.0,8.0,661.15
24.0,3.0,8.0,670.15
25.0,3.0,8.0,678.15
21.0,4.0,8.0,620.15
22.0,4.0,8.0,631.15
23.0,4.0,8.0,641.15
24.0,4.0,8.0,651.15
25.0,4.0,8.0,660.15
21.0,5.0,8.0,594.15
22.0,5.0,8.0,606.15
23.0,5.0,8.0,618.15
24.0,5.0,8.0,629.15
25.0,5.0,8.0,640.15
21.0,6.0,8.0,564.15
22.0,6.0,8.0,578.15
23.0,6.0,8.0,592.15
24.0,6.0,8.0,604.15
25.0,6.0,8.0,616.15
21.0,7.0,8.0,531.15
22.0,7.0,8.0,547.15
23.0,7.0,8.0,562.15
24.0,7.0,8.0,576.15
25.0,7.0,8.0,590.15
21.0,8.0,8.0,493.15
22.0,8.0,8.0,511.15
23.0,8.0,8.0,528.15
24.0,8.0,8.0,544.15
25.0,8.0,8.0,559.15
21.0,9.0,8.0,450.15
22.0,9.0,8.0,470.15
23.0,9.0,8.0,489.15
24.0,9.0,8.0,507.15
25.0,9.0,8.0,524.15
21.0,10.0,8.0,403.15
22.0,10.0,8.0,424.15
23.0,10.0,8.0,445.15
24.0,10.0,8.0,465.15
25.0,10.0,8.0,484.15
21.0,11.0,8.0,351.15
22.0,11.0,8.0,374.15
23.0,11.0,8.0,396.15
24.0,11.0,8.0,418.15
25.0,11.0,8.0,439.15
22.0,12.0,8.0,318.15
23.0,12.0,8.0,342.15
24.0,12.0,8.0,365.15
25.0,12.0,8.0,388.15
24.0,13.0,8.0,308.15
25.0,13.0,8.0,332.15
21.0,14.0,8.0,1473.15
25.0,14.0,8.0,1468.19
21.0,15.0,8.0,1473.15
22.0,15.0,8.0,1473.15
23.0,15.0,8.0,1473.15
25.0,15.0,8.0,1473.15
21.0,2.0,9.0,481.15
22.0,2.0,9.0,479.15
23.0,2.0,9.0,477.15
24.0,2.0,9.0,477.15
25.0,2.0,9.0,477.15
21.0,3.0,9.0,548.15
22.0,3.0,9.0,562.15
23.0,3.0,9.0,574.15
24.0,3.0,9.0,587.15
25.0,3.0,9.0,598.15
21.0,4.0,9.0,516.15
22.0,4.0,9.0,531.15
23.0,4.0,9.0,546.15
24.0,4.0,9.0,559.15
25.0,4.0,9.0,572.15
21.0,5.0,9.0,481.15
22.0,5.0,9.0,497.15
23.0,5.0,9.0,513.15
24.0,5.0,9.0,528.15
25.0,5.0,9.0,543.15
21.0,6.0,9.0,442.15
22.0,6.0,9.0,460.15
23.0,6.0,9.0,477.15
24.0,6.0,9.0,494.15
25.0,6.0,9.0,510.15
21.0,7.0,9.0,399.15
22.0,7.0,9.0,418.15
23.0,7.0,9.0,437.15
24.0,7.0,9.0,455.15
25.0,7.0,9.0,473.15
21.0,8.0,9.0,352.15
22.0,8.0,9.0,372.15
23.0,8.0,9.0,392.15
24.0,8.0,9.0,412.15
25.0,8.0,9.0,431.15
21.0,9.0,9.0,301.15
22.0,9.0,9.0,323.15
23.0,9.0,9.0,344.15
24.0,9.0,9.0,365.15
25.0,9.0,9.0,385.15
24.0,10.0,9.0,314.15
25.0,10.0,9.0,335.15
23.0,11.0,9.0,1417.15
21.0,12.0,9.0,1449.15
22.0,12.0,9.0,1442.66
23.0,12.0,9.0,1436.15
21.0,13.0,9.0,1463.15
22.0,13.0,9.0,1458.15
23.0,13.0,9.0,1452.15
24.0,13.0,9.0,1446.15
21.0,14.0,9.0,1473.15
22.0,14.0,9.0,1469.15
23.0,14.0,9.0,1464.55
24.0,14.0,9.0,1459.15
25.0,14.0,9.0,1454.15
21.0,15.0,9.0,1473.15
22.0,15.0,9.0,1473.15
23.0,15.0,9.0,1473.15
24.0,15.0,9.0,1470.15
25.0,15.0,9.0,1465.15
21.0,2.0,10.0,333.15
22.0,2.0,10.0,333.15
23.0,2.0,10.0,334.15
24.0,2.0,10.0,336.15
25.0,2.0,10.0,338.15
21.0,3.0,10.0,435.15
22.0,3.0,10.0,451.15
23.0,3.0,10.0,467.2511
24.0,3.0,10.0,469.15
25.0,3.0,10.0,471.15
21.0,4.0,10.0,395.15
22.0,4.0,10.0,413.15
23.0,4.0,10.0,430.15
24.0,4.0,10.0,447.15
25.0,4.0,10.0,463.15
21.0,5.0,10.0,353.15
22.0,5.0,10.0,371.15
23.0,5.0,10.0,389.15
24.0,5.0,10.0,407.15
25.0,5.0,10.0,425.15
21.0,6.0,10.0,307.15
22.0,6.0,10.0,326.15
23.0,6.0,10.0,345.15
24.0,6.0,10.0,364.15
25.0,6.0,10.0,383.15
23.0,7.0,10.0,298.15
24.0,7.0,10.0,318.15
25.0,7.0,10.0,338.15
21.0,8.0,10.0,1306.55
25.0,9.0,10.0,1317.15
21.0,10.0,10.0,1381.75
22.0,10.0,10.0,1373.55
23.0,10.0,10.0,1366.13
24.0,10.0,10.0,1358.15
21.0,11.0,10.0,1406.15
22.0,11.0,10.0,1398.72
23.0,11.0,10.0,1392.15
24.0,11.0,10.0,1384.354
25.0,11.0,10.0,1377.15
21.0,12.0,10.0,1426.15
22.0,12.0,10.0,1420.54
23.0,12.0,10.0,1414.15
25.0,12.0,10.0,1400.55
21.0,13.0,10.0,1442.15
22.0,13.0,10.0,1437.15
23.0,13.0,10.0,1431.15
24.0,13.0,10.0,1426.15
25.0,13.0,10.0,1420.15
21.0,14.0,10.0,1455.15
22.0,14.0,10.0,1450.15
23.0,14.0,10.0,1446.15
24.0,14.0,10.0,1441.15
25.0,14.0,10.0,1435.15
21.0,15.0,10.0,1466.15
22.0,15.0,10.0,1461.15
23.0,15.0,10.0,1457.15
24.0,15.0,10.0,1452.15
25.0,15.0,10.0,1448.15
